;psnr;ssim;fsim;histSim;chi2;rsDiff;maxBytes;bpp
psnr;1.0;0.709033575214474;0.5209533168540041;0.3701066545311177;0.05843484908294994;-0.5194513649320285;-0.761761320271078;-0.77033906873603
ssim;0.709033575214474;1.0;0.8590169734216722;0.6374883004527921;0.05071716628882617;-0.44782331550273474;-0.9589175877094902;-0.9666394018000273
fsim;0.5209533168540041;0.8590169734216722;1.0;0.5390115190695657;0.006105970701688317;-0.4668393640195213;-0.7658763835418235;-0.7787660315681849
histSim;0.3701066545311177;0.6374883004527921;0.5390115190695657;1.0;0.05109889419566774;-0.1937301586465751;-0.6336883106436466;-0.6351985136909578
chi2;0.05843484908294994;0.05071716628882617;0.006105970701688317;0.05109889419566774;1.0;-0.04992377899447562;-0.05663998936326268;-0.06447385161881299
rsDiff;-0.5194513649320285;-0.44782331550273474;-0.4668393640195213;-0.1937301586465751;-0.04992377899447562;1.0;0.43290472379726336;0.44367372686478357
maxBytes;-0.761761320271078;-0.9589175877094902;-0.7658763835418235;-0.6336883106436466;-0.05663998936326268;0.43290472379726336;1.0;0.9935344526546617
bpp;-0.77033906873603;-0.9666394018000273;-0.7787660315681849;-0.6351985136909578;-0.06447385161881299;0.44367372686478357;0.9935344526546617;1.0
