,Média,Desvio Padrão
psnr,74.54742454625,5.399490798344267
ssim,0.9998701662499999,0.0001673936809334769
fsim,0.99980215875,0.00039013328623012784
histSim,0.999983205,5.582818694953687e-05
chi2,418.197977875,1290.09074186014
rsDiff,0.45762723625,0.1678735868656289
maxBytes,2286.0575,2516.707032921332
bpp,0.00653493375,0.007093305139821577
ber,0.0,0.0
